,FP,TP
0,0.0,0.0
1,0.00011943150603129105,0.0
2,0.0002388630120625821,0.0
3,0.0002388630120625821,0.00024058703235895585
4,0.00035829451809387314,0.00024058703235895585
5,0.00035829451809387314,0.00036088054853843375
6,0.0004777260241251642,0.00036088054853843375
7,0.0004777260241251642,0.0004811740647179117
8,0.0007165890361877463,0.0004811740647179117
9,0.0007165890361877463,0.0006014675808973896
10,0.0009554520482503284,0.0006014675808973896
11,0.0009554520482503284,0.0007217610970768675
12,0.0010748835542816195,0.0007217610970768675
13,0.0010748835542816195,0.0009623481294358234
14,0.0014331780723754925,0.0009623481294358234
15,0.0014331780723754925,0.0010826416456153013
16,0.002030335602531948,0.0010826416456153013
17,0.002030335602531948,0.001323228677974257
18,0.00226919861459453,0.001323228677974257
19,0.00226919861459453,0.001443522194153735
20,0.002388630120625821,0.001443522194153735
21,0.002388630120625821,0.0015638157103332131
22,0.0025080616266571123,0.0015638157103332131
23,0.0025080616266571123,0.001684109226512691
24,0.0027469246387196943,0.001684109226512691
25,0.0027469246387196943,0.001804402742692169
26,0.0029857876507822763,0.001804402742692169
27,0.0029857876507822763,0.0019246962588716468
28,0.0031052191568135675,0.0019246962588716468
29,0.0031052191568135675,0.0021652832912306026
30,0.0035829451809387316,0.0021652832912306026
31,0.0035829451809387316,0.0022855768074100807
32,0.003702376686970023,0.0022855768074100807
33,0.003702376686970023,0.0024058703235895584
34,0.0038218081930013136,0.0024058703235895584
35,0.0038218081930013136,0.002646457355948514
36,0.003941239699032604,0.002646457355948514
37,0.003941239699032604,0.00288704438830747
38,0.004777260241251642,0.00288704438830747
39,0.004777260241251642,0.003007337904486948
40,0.004896691747282933,0.003007337904486948
41,0.004896691747282933,0.0031276314206664262
42,0.005016123253314225,0.0031276314206664262
43,0.005016123253314225,0.0034885119692048597
44,0.005493849277439389,0.0034885119692048597
45,0.005493849277439389,0.003969686033922772
46,0.00561328078347068,0.003969686033922772
47,0.00561328078347068,0.004450860098640683
48,0.006210438313627135,0.004450860098640683
49,0.006210438313627135,0.0045711536148201615
